iter	Passed	Remaining
0	137	137018
1	139	69430
2	140	46791
3	143	35639
4	147	29311
5	149	24779
6	151	21502
7	153	19059
8	155	17127
9	157	15591
10	159	14317
11	161	13313
12	164	12467
13	166	11738
14	168	11073
15	170	10495
16	172	9979
17	175	9548
18	177	9177
19	179	8815
20	181	8470
21	183	8153
22	185	7866
23	187	7627
24	190	7417
25	192	7197
26	193	6988
27	196	6805
28	197	6616
29	199	6437
30	201	6294
31	203	6159
32	205	6019
33	207	5894
34	208	5761
35	210	5645
36	212	5530
37	214	5434
38	217	5347
39	219	5263
40	221	5170
41	222	5071
42	223	4977
43	225	4893
44	226	4808
45	229	4750
46	231	4685
47	232	4618
48	235	4576
49	238	4522
50	240	4466
51	242	4427
52	245	4383
53	247	4340
54	249	4281
55	251	4233
56	252	4182
57	254	4136
58	257	4107
59	259	4071
60	262	4040
61	264	4001
62	265	3952
63	267	3907
64	268	3861
65	269	3818
66	272	3794
67	274	3766
68	277	3744
69	279	3708
70	280	3670
71	281	3631
72	283	3597
73	286	3579
74	288	3560
75	290	3530
76	292	3507
77	294	3484
78	296	3461
79	299	3440
80	302	3428
81	304	3409
82	305	3379
83	308	3359
84	309	3333
85	311	3309
86	314	3302
87	316	3279
88	317	3253
89	319	3227
90	320	3204
91	322	3184
92	324	3161
93	325	3133
94	328	3127
95	330	3110
96	332	3095
97	333	3072
98	335	3051
99	336	3030
100	338	3011
101	339	2991
102	341	2973
103	344	2968
104	346	2951
105	347	2934
106	349	2917
107	351	2901
108	352	2885
109	354	2871
110	358	2867
111	360	2855
112	362	2843
113	364	2835
114	366	2817
115	368	2805
116	369	2786
117	371	2775
118	373	2768
119	375	2754
120	376	2738
121	378	2723
122	379	2708
123	381	2696
124	383	2683
125	385	2677
126	387	2663
127	388	2649
128	390	2637
129	392	2624
130	394	2614
131	395	2601
132	397	2594
133	401	2592
134	403	2587
135	405	2577
136	408	2570
137	410	2563
138	412	2552
139	414	2548
140	417	2541
141	418	2529
142	420	2521
143	423	2517
144	425	2511
145	428	2504
146	430	2500
147	432	2489
148	434	2481
149	436	2470
150	437	2458
151	438	2446
152	439	2435
153	441	2424
154	443	2420
155	445	2410
156	447	2404
157	449	2397
158	451	2386
159	453	2379
160	454	2366
161	456	2360
162	458	2356
163	460	2348
164	463	2343
165	464	2334
166	466	2324
167	467	2315
168	469	2306
169	471	2301
170	473	2293
171	474	2285
172	476	2279
173	478	2270
174	479	2261
175	480	2251
176	482	2242
177	483	2233
178	485	2227
179	487	2219
180	488	2212
181	490	2204
182	491	2194
183	493	2186
184	494	2178
185	495	2169
186	496	2160
187	498	2152
188	500	2147
189	502	2144
190	504	2138
191	506	2132
192	508	2125
193	509	2117
194	511	2109
195	512	2101
196	515	2099
197	517	2097
198	520	2093
199	521	2085
200	522	2078
201	524	2073
202	526	2066
203	528	2060
204	530	2058
205	532	2053
206	534	2046
207	535	2040
208	537	2034
209	538	2027
210	540	2021
211	543	2019
212	546	2017
213	547	2011
214	549	2006
215	551	2000
216	553	1995
217	554	1988
218	555	1981
219	558	1978
220	559	1973
221	561	1967
222	563	1962
223	565	1958
224	567	1953
225	568	1948
226	571	1947
227	573	1941
228	574	1935
229	576	1929
230	578	1925
231	579	1919
232	581	1912
233	582	1908
234	585	1904
235	587	1902
236	589	1897
237	590	1891
238	592	1887
239	594	1881
240	595	1876
241	597	1871
242	599	1868
243	602	1865
244	603	1860
245	605	1855
246	606	1849
247	608	1844
248	610	1841
249	611	1835
250	613	1831
251	616	1829
252	618	1826
253	621	1824
254	623	1821
255	625	1817
256	627	1813
257	629	1811
258	632	1809
259	634	1806
260	636	1803
261	639	1800
262	640	1795
263	643	1793
264	645	1790
265	648	1789
266	651	1787
267	653	1784
268	656	1784
269	662	1790
270	663	1784
271	666	1784
272	670	1784
273	672	1783
274	674	1779
275	677	1777
276	680	1776
277	683	1775
278	686	1774
279	688	1771
280	691	1770
281	694	1767
282	696	1765
283	699	1762
284	701	1760
285	704	1757
286	706	1755
287	708	1751
288	710	1748
289	712	1744
290	714	1740
291	716	1736
292	718	1733
293	721	1732
294	723	1729
295	725	1724
296	726	1720
297	728	1716
298	730	1712
299	732	1708
300	734	1705
301	736	1701
302	738	1698
303	740	1694
304	742	1690
305	744	1687
306	747	1686
307	750	1685
308	752	1682
309	755	1681
310	757	1677
311	760	1677
312	763	1675
313	767	1675
314	770	1675
315	772	1671
316	774	1668
317	777	1667
318	779	1663
319	780	1659
320	782	1655
321	783	1650
322	785	1645
323	786	1641
324	789	1639
325	791	1636
326	794	1635
327	796	1631
328	798	1629
329	799	1624
330	801	1619
331	804	1619
332	807	1616
333	809	1613
334	810	1609
335	812	1605
336	814	1602
337	816	1599
338	818	1596
339	820	1593
340	822	1590
341	824	1586
342	826	1582
343	827	1578
344	829	1575
345	833	1575
346	835	1572
347	837	1569
348	840	1567
349	842	1564
350	844	1561
351	846	1558
352	849	1556
353	851	1554
354	853	1550
355	854	1546
356	857	1543
357	859	1540
358	862	1539
359	864	1537
360	866	1533
361	868	1530
362	870	1526
363	871	1523
364	873	1519
365	875	1517
366	878	1514
367	880	1511
368	881	1507
369	883	1503
370	884	1500
371	886	1496
372	887	1492
373	890	1490
374	892	1487
375	894	1483
376	895	1480
377	897	1476
378	899	1473
379	901	1470
380	903	1467
381	905	1464
382	907	1461
383	909	1459
384	911	1455
385	913	1452
386	914	1448
387	916	1445
388	919	1444
389	921	1441
390	923	1438
391	925	1435
392	927	1431
393	928	1428
394	930	1424
395	931	1421
396	934	1419
397	936	1416
398	939	1415
399	941	1412
400	943	1409
401	944	1405
402	947	1403
403	950	1401
404	952	1398
405	953	1395
406	955	1391
407	956	1387
408	957	1384
409	959	1380
410	961	1378
411	964	1376
412	966	1374
413	971	1374
414	973	1372
415	975	1370
416	979	1368
417	981	1366
418	983	1363
419	984	1359
420	986	1356
421	987	1353
422	989	1350
423	991	1347
424	993	1344
425	995	1340
426	996	1337
427	997	1333
428	999	1330
429	1000	1326
430	1001	1322
431	1004	1320
432	1006	1318
433	1008	1315
434	1010	1311
435	1011	1308
436	1013	1305
437	1014	1302
438	1016	1298
439	1018	1295
440	1020	1293
441	1022	1291
442	1024	1288
443	1026	1285
444	1028	1282
445	1030	1279
446	1031	1276
447	1033	1273
448	1034	1269
449	1035	1266
450	1037	1262
451	1038	1259
452	1039	1255
453	1040	1251
454	1041	1247
455	1042	1244
456	1044	1240
457	1046	1237
458	1047	1235
459	1049	1231
460	1050	1228
461	1051	1224
462	1053	1221
463	1054	1218
464	1055	1214
465	1056	1211
466	1058	1207
467	1059	1204
468	1060	1200
469	1062	1198
470	1063	1194
471	1065	1191
472	1066	1188
473	1067	1184
474	1068	1180
475	1069	1177
476	1070	1173
477	1071	1170
478	1072	1167
479	1074	1163
480	1075	1160
481	1077	1158
482	1078	1154
483	1080	1151
484	1081	1148
485	1082	1144
486	1083	1141
487	1085	1138
488	1086	1135
489	1088	1132
490	1090	1130
491	1092	1127
492	1093	1124
493	1094	1121
494	1096	1118
495	1097	1114
496	1098	1112
497	1100	1109
498	1101	1106
499	1103	1103
500	1105	1101
501	1107	1098
502	1109	1096
503	1111	1093
504	1112	1090
505	1114	1088
506	1116	1086
507	1119	1084
508	1121	1081
509	1124	1079
510	1126	1077
511	1128	1075
512	1130	1073
513	1132	1071
514	1135	1069
515	1137	1066
516	1139	1064
517	1140	1061
518	1142	1058
519	1143	1055
520	1145	1053
521	1148	1051
522	1150	1049
523	1152	1046
524	1154	1044
525	1156	1042
526	1158	1039
527	1160	1037
528	1163	1036
529	1166	1034
530	1168	1031
531	1169	1029
532	1171	1026
533	1173	1023
534	1176	1022
535	1178	1020
536	1181	1018
537	1182	1015
538	1184	1012
539	1186	1010
540	1187	1007
541	1190	1006
542	1193	1004
543	1195	1002
544	1197	1000
545	1200	998
546	1201	995
547	1203	992
548	1206	991
549	1208	988
550	1211	987
551	1213	984
